title,track,novelty_scores,scope_scores,technical_scores
Full-Attention Driven Graph Contrastive Learning: with Effective Mutual Information Insight,Graph Algorithms and Learning for the Web,"4, 4, 4, 5","3, 3, 3, 3","4, 3, 6, 4"
Beyond Labels and Topics: Discovering Causal Relationships in Neural Topic Modeling,Web Mining and Content Analysis,"3, 6, 5, 5","4, 3, 3, 4","3, 5, 6, 5"
Optimal Engagement-Diversity Tradeoffs in Social Media,"Economics, Online Markets, and Human Computation","5, 5, 4, 5, 5","4, 4, 3, 4, 4","6, 5, 6, 4, 4"
Understanding Human Preferences: Towards More Personalized Video to Text Generation,User Modeling and Recommendation,"4, 6, 5, 4","2, 4, 3, 4","5, 6, 3, 5"
Revisiting VAE for Unsupervised Time Series Anomaly Detection: A Frequency Perspective,"Systems and Infrastructure for Web, Mobile, and WoT","5, 4, 4, 4","4, 4, 1, 4","6, 5, 4, 4"
Automating Website Registration for Studying GDPR Compliance,Responsible Web,"5, 4, 4, 4, 4","4, 3, 4, 4, 4","5, 4, 3, 3, 6"
PhishinWebView: Analysis of Anti-Phishing Entities in Mobile Apps with WebView Targeted Phishing,Security,"4, 4, 4, 6, 5","4, 4, 4, 4, 4","5, 3, 4, 5, 6"
Towards Cross-Table Masked Pretraining for Web Data Mining,Web Mining and Content Analysis,"2, 6, 6, 5","3, 6, 4, 3","2, 2, 5, 4"
Optimizing Polynomial Graph Filters: A Novel Adaptive Krylov Subspace Approach,Graph Algorithms and Learning for the Web,"5, 5, 5, 4, 5","4, 4, 4, 4, 4","5, 5, 5, 4, 5"
Endowing Pre-trained Graph Models with Provable Fairness,Graph Algorithms and Learning for the Web,"5, 3, 5, 4, 5","4, 2, 3, 4, 4","6, 3, 5, 5, 6"
AdFlush: A Real-World Deployable Machine Learning Solution for Effective Advertisement and Web Tracker Prevention,Security,"4, 5, 4, 5, 4","3, 4, 4, 3, 4","4, 5, 5, 6, 4"
OODREB: Benchmarking State-of-the-Art methods for Out-Of-Distribution Generalization on Relation Extraction,Semantics and Knowledge,"4, 5, 4, 5, 5","4, 5, 3, 3, 3","4, 2, 5, 6, 4"
Fast Graph Condensation with Structure-based Neural Tangent Kernel,Web Mining and Content Analysis,"6, 6, 6, 3","3, 4, 4, 1","6, 6, 6, 4"
DenseFlow: Spotting Cryptocurreny Money Laundering in Ethereum Transaction Graphs,Web Mining and Content Analysis,"4, 4, 6, 4","2, 3, 4, 4","4, 5, 6, 4"
AN-Net: An Anti-Noise Network For Anonymous Traffic Classification,Web Mining and Content Analysis,"6, 5, 4, 6, 4","3, 3, 3, 3, 4","6, 4, 5, 6, 4"
HetGPT: Harnessing the Power of Prompt Tuning in Pre-Trained Heterogeneous Graph Neural Networks,Graph Algorithms and Learning for the Web,"5, 5, 5, 6","4, 3, 4, 4","5, 4, 5, 4"
"Negative Sampling in Next-POI Recommendations: Observation, Approach, and Evaluation",User Modeling and Recommendation,"4, 5, 4, 4, 5","3, 3, 3, 4, 4","4, 4, 3, 3, 6"
Benchmark and Neural Architecture for Conversational Entity Retrieval from a Knowledge Graph,Search,"3, 5, 5, 5, 5","4, 4, 4, 4, 4","3, 5, 4, 4, 5"
Bridging or Breaking: Impact of Intergroup Interactions on Religious Polarization,"Social Networks, Social Media, and Society","6, 6, 5, 2, 4","4, 4, 4, 3, 3","7, 4, 4, 3, 5"
Globally Interpretable Graph Learning via Distribution Matching,Graph Algorithms and Learning for the Web,"6, 5, 4, 5, 6","4, 3, 4, 4, 4","4, 4, 4, 5, 5"
Graph Anomaly Detection with Bi-level Optimization,Web Mining and Content Analysis,"6, 4, 3, 4, 4","4, 3, 4, 3, 3","4, 4, 5, 4, 5"
Learning Scalable Structural Representations for Link Prediction with Bloom Signatures,Graph Algorithms and Learning for the Web,"5, 4, 3, 5, 4","4, 4, 4, 3, 4","5, 5, 4, 6, 5"
"Breaking the Trilemma of Privacy, Utility, Efficiency via Controllable Machine Unlearning",Responsible Web,"5, 5, 6, 5, 5","3, 3, 4, 3, 3","6, 4, 6, 6, 5"
DualCL: Principled Supervised Contrastive Learning as Mutual Information Maximization for Text Classification,Web Mining and Content Analysis,"4, 4, 3","3, 4, 3","5, 5, 4"
General Debiasing for Graph-based Collaborative Filtering via Adversarial Graph Dropout,User Modeling and Recommendation,"3, 4, 6, 4, 5","4, 3, 4, 4, 4","3, 4, 6, 4, 5"
Perceptions in pixels: analyzing perceived gender and skin tone in real-world image search results,Responsible Web,"4, 6, 5, 7","3, 4, 3, 4","5, 6, 4, 6"
Self-Paced Pairwise Representation Learning for Semi-Supervised Text Classification,Web Mining and Content Analysis,"4, 5, 4","3, 3, 3","5, 5, 4"
Can One Embedding Fit All? A Multi-Interest Learning Paradigm Towards Improving User Interest Diversity Fairness,Responsible Web,"6, 4, 5, 4","3, 3, 3, 4","7, 5, 6, 4"
Is Contrastive Learning Necessary? A Study of Data Augmentation vs Contrastive Learning in Sequential Recommendation,User Modeling and Recommendation,"4, 2, 4, 4, 5","3, 2, 4, 4, 3","4, 2, 5, 5, 5"
Non-uniform Bid-scaling and Equilibria for Different Auctions: An Empirical Study,"Economics, Online Markets, and Human Computation","6, 6, 5, 5","4, 4, 3, 4","6, 5, 4, 6"
IDEA-DAC: Integrity-Driven Editing for Accountable Decentralized Anonymous Credentials,Security,"5, 6, 4, 5, 5","3, 4, 4, 3, 5","5, 6, 3, 5, 1"
"Cardinality Counting in ""Alcatraz"": A Privacy-aware Federated Learning Approach","Systems and Infrastructure for Web, Mobile, and WoT","5, 3, 4, 7, 6","4, 4, 3, 4, 4","5, 4, 4, 6, 5"
Distributed Data Placement and Content Delivery in Web Caches with Non-Metric Access Costs,Web Mining and Content Analysis,"5, 4, 4, 1, 4","3, 3, 3, 1, 4","5, 4, 5, 1, 4"
Aligning Out-of-Distribution Web Images and Caption Semantics via Evidential Learning,Semantics and Knowledge,"4, 5, 6, 4, 6","2, 4, 4, 3, 3","3, 5, 6, 3, 6"
